Genus,Species,tmax_metric,tmax_acc,tmax_acc_days,tmax_acc_type,tmax_col_time_if_field_fresh,tmax,lat_max,long_max,no_NicheMapR_data,altitude,Phylum,Class,Order,Family,Realm,REF_max,citation_details_or_paper_in_which_data_were_compiled,notes.2017,NM_1cm_airshade,NM_2m_airshade,NM_exposed_bodytemp,NM_exposed_air,NM_exposed_body_wet,NM_shade_body_wet,NMGHCND_2m_airshade,NMGHCND_exposed_Te,NMGHCND_exposed_Te_wet,NMGHCND_2m_airshade95,NMGHCND_exposed_Te95,NMGHCND_exposed_Te_wet95,NMGHCND_shade_Te_wet,NMGHCND_shade_Te_wet95
Sphenomorphus,tympanum,crit,NA,NA,,,39.8,-30,150,,NA,Chordata,Reptilia,Squamata,Scincidae,Terrestrial,Spellerberg_1972,Sunday_et_al_PRSB_2011,Filed fresh; only season of collection was given - not field temp.,33.69905853,32.23156738,62.75935745,49.77322769,34.18748474,21.41693115,41.0022583,68.23503876,36.51094437,29.28596497,55.9251812,30.41935196,28.53045082,20.70099068
Suta,flagellum,crit,NA,NA,,,40,-30,149.95,,NA,Chordata,Reptilia,Squamata,Hydrophiidae,Terrestrial,Spellerberg_1972,Sunday_et_al_PRSB_2011,Filed fresh; only season of collection was given - not field temp.,33.69905853,32.23156738,62.75935745,49.77322769,34.18748474,21.41693115,42.50231934,69.03314972,36.77561188,30.73477173,57.01625252,31.34372997,29.74655533,21.93723745
Tiliqua,nigrolutea,crit,NA,NA,,,42.5,-30,150,,NA,Chordata,Reptilia,Squamata,Scincidae,Terrestrial,Spellerberg_1972,Sunday_et_al_PRSB_2011,Filed fresh; only season of collection was given - not field temp.,33.69905853,32.23156738,62.75935745,49.77322769,34.18748474,21.41693115,41.0022583,68.23503876,36.51094437,29.28596497,55.9251812,30.41935196,28.53045082,20.70099068
Varanus,varius,crit,NA,NA,,,43.7,-30,150,,NA,Chordata,Reptilia,Squamata,Varanidae,Terrestrial,Spellerberg_1972,Sunday_et_al_PRSB_2011,Filed fresh; only season of collection was given - not field temp.,33.69905853,32.23156738,62.75935745,49.77322769,34.18748474,21.41693115,41.0022583,68.23503876,36.51094437,29.28596497,55.9251812,30.41935196,28.53045082,20.70099068
Limnodynastes,dorsalis,crit,30,NA,,,36.5,-31.1,150.93,,609.6,Chordata,Amphibia,Anura,Myobatrachidae,Terrestrial,Brattstrom_1970,Sunday_et_al_PNAS_2014,,32.02453232,30.10906982,68.54334259,48.48524857,43.03186798,22.21788406,39.34802246,67.64434814,36.77173233,27.48245239,54.74172478,30.44722567,28.86492729,20.48984041
Neobatrachus,pictus,crit,5,NA,,,29.3,-31.1,150.93,,609.6,Chordata,Amphibia,Anura,Myobatrachidae,Terrestrial,Brattstrom_1970,Sunday_et_al_PNAS_2014,,32.02453232,30.10906982,68.54334259,48.48524857,43.03186798,22.21788406,39.34802246,67.64434814,36.77173233,27.48245239,54.74172478,30.44722567,28.86492729,20.48984041
Hyla,freycineti,crit,5,NA,,,31.3,-33.38,151.3,,304.8,Chordata,Amphibia,Anura,Hylidae,Terrestrial,Brattstrom_1970,Sunday_et_al_PNAS_2014,,28.71272278,27.46112061,58.97708893,41.37049484,41.32623291,21.30022621,43.30908203,63.86504364,37.58070755,26.12078705,46.72570133,28.38977127,33.29921341,20.23190928
Adelotus,brevis,crit,5,NA,,,31.2,-33.43,151.35,,304.8,Chordata,Amphibia,Anura,Myobatrachidae,Terrestrial,Brattstrom_1970,Sunday_et_al_PNAS_2014,,28.61567688,27.39422607,58.11693954,40.71201324,40.84739685,21.54232216,43.20910645,63.10676575,37.77653122,26.34528656,46.26942825,28.58668537,33.4720459,20.63063049
Limnodynastes,peroni,crit,10,NA,,,32.7,-33.43,151.35,,304.8,Chordata,Amphibia,Anura,Myobatrachidae,Terrestrial,Brattstrom_1970,Sunday_et_al_PNAS_2014,,28.61567688,27.39422607,58.11693954,40.71201324,40.84739685,21.54232216,43.20910645,63.10676575,37.77653122,26.34528656,46.26942825,28.58668537,33.4720459,20.63063049
Myxophyes,fasciolatus,crit,30,NA,,,30.5,-33.43,151.35,,304.8,Chordata,Amphibia,Anura,Myobatrachidae,Terrestrial,Brattstrom_1970,Sunday_et_al_PNAS_2014,,28.61567688,27.39422607,58.11693954,40.71201324,40.84739685,21.54232216,43.20910645,63.10676575,37.77653122,26.34528656,46.26942825,28.58668537,33.4720459,20.63063049
Hyla,ewingi,crit,25,NA,,,32.8,-30.51,151.62,,1371.6,Chordata,Amphibia,Anura,Hylidae,Terrestrial,Brattstrom_1970,Sunday_et_al_PNAS_2014,,28.28842163,26.85021973,64.39390564,44.01851654,43.40629196,19.52715683,35.45358276,62.77552032,35.35560608,24.38643188,50.70637646,27.83478069,25.96574402,17.87616158
Hyla,peroni,crit,25,NA,,,36.2,-33.4,151.3,,731.5,Chordata,Amphibia,Anura,Hylidae,Terrestrial,Brattstrom_1970,Sunday_et_al_PNAS_2014,,28.28842163,26.85021973,64.39390564,44.01851654,43.40629196,19.52715683,43.30908203,63.86390686,37.58049774,26.12084656,46.72328091,28.44672146,33.06851578,20.23194265
Limnodynastes,tasmaniensis,crit,25,NA,,,33.4,-30.51,151.66,,1371.6,Chordata,Amphibia,Anura,Myobatrachidae,Terrestrial,Brattstrom_1970,Sunday_et_al_PNAS_2014,,28.28842163,26.85021973,64.39390564,44.01851654,43.40629196,19.52715683,35.45358276,62.77552032,35.35560608,24.38643188,50.70637646,27.83478069,25.96574402,17.87616158
Pseudophryne,bibroni,crit,5,NA,,,34.8,-30.51,151.66,,1371.6,Chordata,Amphibia,Anura,Myobatrachidae,Terrestrial,Brattstrom_1970,Sunday_et_al_PNAS_2014,,28.28842163,26.85021973,64.39390564,44.01851654,43.40629196,19.52715683,35.45358276,62.77552032,35.35560608,24.38643188,50.70637646,27.83478069,25.96574402,17.87616158
Pseudophryne,dendyi,crit,5,NA,,,34.8,-30.51,151.66,,1371.6,Chordata,Amphibia,Anura,Myobatrachidae,Terrestrial,Brattstrom_1970,Sunday_et_al_PNAS_2014,,28.28842163,26.85021973,64.39390564,44.01851654,43.40629196,19.52715683,35.45358276,62.77552032,35.35560608,24.38643188,50.70637646,27.83478069,25.96574402,17.87616158
Hyla,citropa,crit,5,NA,,,30.7,-30.5,152.9,,1371.6,Chordata,Amphibia,Anura,Hylidae,Terrestrial,Brattstrom_1970,Sunday_et_al_PNAS_2014,,29.7034626,28.53933716,59.77403259,42.03069305,41.03139877,22.69900894,42.61999512,63.59395218,37.5969696,26.75902252,47.90468464,29.43611546,33.13100815,21.27216578
Philoria,sphagnicola,crit,5,NA,,,25.8,-30.5,152.9,,1525,Chordata,Amphibia,Anura,Myobatrachidae,Terrestrial,Brattstrom_1970,Sunday_et_al_PNAS_2014,,29.7034626,28.53933716,59.77403259,42.03069305,41.03139877,22.69900894,42.61999512,63.59395218,37.5969696,26.75902252,47.90468464,29.43611546,33.13100815,21.27216578
Litoria,gracilenta,crit,25,NA,,,39,-27.5,153,,5,Chordata,Amphibia,Anura,Hylidae,Terrestrial,Johnson_1972,Sunday_et_al_PNAS_2014,,30.71968651,29.47052002,59.73538589,42.33721924,41.36504364,22.98890877,41.01806641,60.76288605,36.29466629,28.08833771,49.05022964,29.76861229,31.85755157,21.75682526
Crinia,darlingtoni,crit,5,NA,,,31,-28.28,153.11,,762,Chordata,Amphibia,Anura,Myobatrachidae,Terrestrial,Brattstrom_1970,Sunday_et_al_PNAS_2014,,28.04655075,26.97045898,56.71622849,38.811203,40.17242432,20.4863987,40.15209961,60.05412674,35.62818146,25.47167206,45.40306969,26.31142073,30.33361053,19.11396255
Philoria,loveridgei,crit,10,NA,,,30.5,-28.28,153.11,,762,Chordata,Amphibia,Anura,Myobatrachidae,Terrestrial,Brattstrom_1970,Sunday_et_al_PNAS_2014,,28.04655075,26.97045898,56.71622849,38.811203,40.17242432,20.4863987,40.15209961,60.05412674,35.62818146,25.47167206,45.40306969,26.31142073,30.33361053,19.11396255
