"Genus","Species","tmax_metric","tmax_acc","tmax_acc_days","tmax_acc_type","tmax_col_time_if_field_fresh","tmax","lat_max","long_max","no_NicheMapR_data","altitude","Phylum","Class","Order","Family","Realm","REF_max","citation_details_or_paper_in_which_data_were_compiled","notes.2017","NM_1cm_airshade","NM_2m_airshade","NM_exposed_bodytemp","NM_exposed_air","NM_exposed_body_wet","NM_shade_body_wet","thermy","weight","weight_source","length","notes","NMGHCND_2m_airshade95","NMGHCND_exposed_Te95","NMGHCND_exposed_Te_wet95","NMGHCND_shade_Te_wet95","NMGHCND_exposed_Tb95","NMGHCND_exposed_Tb_wet95","NMGHCND_shade_Tb_wet95","NMGHCND_2m_shade_Tb95"
"Fundulus","parvipinnis","leth",28,60,"","",36.5,33,-117.5,"",0,"Chordata","Actinopterygii","Cyprinodontiformes","Cyprinodontidae","Marine","Doudoroff_1945_in_Brett_1970","Sunday_et_al_PRSB_2011","added acclimation",NA,NA,NA,NA,NA,NA,"ectotherm",21.50083019,"fishbase from LW and LL relationship",10.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gammarus","locusta","leth",1.75,90,"field_fresh","",25.02,71,-156.47,"",0,"Arthropoda","Malacostraca","Amphipoda","Gammaridae","Marine","Scholander_et_al_1953","Sunday_et_al_PRSB_2011","removed tmin - artificial as far as I can tell",NA,NA,NA,NA,NA,NA,"ectotherm",0.056,"weight-length relationship from Costa & Costa 1999",0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gari","solida","leth",16,7,"lab","",26.9,-14.25,-76.2,"",0,"Mollusca","Bivalvia","Veneroida","Psammobiidae","Marine","Urban_1994","Marine_Ecology_Progress_Series_107:_139-145_1994","added acclimation",NA,NA,NA,NA,NA,NA,"ectotherm",NA,NA,8.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gehyra","variegata","crit",NA,NA,"","",43.8,-30,150,"",NA,"Chordata","Reptilia","Squamata","Gekkonidae","Terrestrial","Spellerberg_1972","Sunday_et_al_PRSB_2011","Filed fresh; only season of collection was given - not field temp.",33.69905853,32.23156738,62.75935745,49.77322769,34.18748474,21.41693115,"ectotherm",7.41,"Slavenko et al. 2016 database",NA,NA,29.2859649658203,55.9251811981201,30.4193519592285,20.7009906768799,55.9251807972087,30.4193519046023,20.7009905985222,29.2859649234104
"Gemma","gemma","leth",30,NA,"lab","",37,37.11,-76.13,"",0,"Mollusca","Bivalvia","Veneroida","Veneridae","Marine","Kennedy_and_Mihursky_1971","Chesapeake_Science_(1971)_12:_193","added acclimation but could not find duration description",NA,NA,NA,NA,NA,NA,"ectotherm",NA,NA,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Girella","nigricans","leth",28,NA,"","",31.4,34,-120.8,"",0,"Chordata","Actinopterygii","Perciformes","Kyphosidae","Marine","Doudoroff_1942_in_Brett_1970","Sunday_et_al_PRSB_2011","acclimation not given",NA,NA,NA,NA,NA,NA,"ectotherm",11403.85914,"fishbase from LW and LL relationship",66,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Glossina","pallidipes","crit",30,NA,"","",44.3,-13.03,31.45,"",388,"Arthropoda","Insecta","Diptera","Glossinidae","Terrestrial","Terblanche_et_al_2008","Sunday_et_al_PRSB_2011","",36.71426773,35.35632324,61.72961044,50.61027908,35.07290649,25.41294479,"ectotherm",0.0385,"Chown et al. 2007 https://doi.org/10.1111/j.1365-2435.2007.01245.x",NA,NA,32.832698059082,56.9798568725586,33.497071647644,25.4228494644165,56.9798568725586,33.497071647644,25.4228494644165,32.832698059082
"Gobius","niger","crit",24,14,"lab","",34.1,38,-9,"",0,"Chordata","Actinopterygii","Perciformes","Gobiidae","Marine","Madeira_et_al2012","Journal_of_Sea_Research_70_(2012)_32_41","added acclimation",NA,NA,NA,NA,NA,NA,"ectotherm",74.95587521,"fishbase from LW relationship",18,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gonocephalum","simplex","crit",NA,NA,"field_fresh","summer",49.5,-32.919,18.226,"",0,"Arthropoda","Insecta","Coleoptera","Tenebrionidae","Terrestrial","Klok_2004","Sunday_et_al_PNAS_2014","samples were field fresh but no field temps given",29.29813576,28.07385254,52.37306213,40.55287933,32.17661285,20.31708336,"ectotherm",0.015,"From length-weight relationship in Wardhaugh 2013 https://onlinelibrary.wiley.com/doi/pdf/10.1111/aen.12032",0.05,NA,26.9171142578125,47.6298784255981,29.0899351119995,21.1914781570435,47.6298784255981,29.0899351119995,21.1914781570435,26.9171142578125
"Haemulon","bonariense","leth",30,90,"field_fresh","",40,9.5,-78,"",0,"Chordata","Actinopterygii","Perciformes","Haemulidae","Marine","Scholander_et_al1953","Physiological_Zoology_Vol._26_No._1_(Jan._1953)_pp._67-92","",NA,NA,NA,NA,NA,NA,"ectotherm",1177.253067,"fishbase from LW relationship",40,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Haemulon","steindachneri","crit",26.5,90,"field_fresh","",37.2,2.96,-78.2,"",0,"Chordata","Actinopterygii","Perciformes","Haemulidae","Marine","Mora_and_Ospina_2001;_2002","Sunday_et_al_PRSB_2011","added acclimation",NA,NA,NA,NA,NA,NA,"ectotherm",300,"fishbase",30,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Halichoeres","dispilus","crit",26.5,90,"field_fresh","",35.8,2.96,-78.2,"",0,"Chordata","Actinopterygii","Perciformes","Labridae","Marine","Mora_and_Ospina_2001;_2002","Sunday_et_al_PRSB_2011","added acclimation",NA,NA,NA,NA,NA,NA,"ectotherm",NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Halmaeusa","atriceps","crit",20,7,"","",32.3,-46.9,37.8,"Marion",99,"Arthropoda","Insecta","Coleoptera","Staphylinidae","Terrestrial","Slabber_and_Chown_2005","Sunday_et_al_PRSB_2011","",NA,NA,NA,NA,NA,NA,"ectotherm",0.00124,"mean as larvae from Brose et al. dataset",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Halozetes","fulvus","leth",15,7,"","",39.9,-46.9,37.9,"Marion",0,"Arthropoda","Arachnida","Acarina","Oribatidae","Terrestrial","Deere_et_al_2006","Sunday_et_al_PRSB_2011","p.696",NA,NA,NA,NA,NA,NA,"ectotherm",3.1e-05,"Deere et al. 2006 https://doi.org/10.1016/j.jinsphys.2006.03.009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
