Genus,Species,tmax_metric,tmax_acc,tmax_acc_days,tmax_acc_type,tmax_col_time_if_field_fresh,tmax,lat,lon,no_NicheMapR_data,altitude,Phylum,Class,Order,Family,habitat,citation,citation_details_or_paper_in_which_data_were_compiled,notes.2017
Eurycea,nana,crit,20,NA,,,37.2,29.9,-98,,190,Chordata,Amphibia,Caudata,Plethodontidae,terrestrial,Berkhouse_1995,Sunday_et_al_PNAS_2014,
Bufo,marmoreus,crit,36,NA,,,40.2,17,-96.7,,304.8,Chordata,Amphibia,Anura,Bufonidae,terrestrial,Brattstrom_1968,Sunday_et_al_PRSB_2011,
Eurycea,longicauda,crit,15,NA,,,37.6,36.11,-94.33,,377,Chordata,Amphibia,Caudata,Plethodontidae,terrestrial,Sealander_1969,Sunday_et_al_PNAS_2014,
Eurycea,lucifuga,crit,15,NA,,,37.2,36.11,-94.33,,377,Chordata,Amphibia,Caudata,Plethodontidae,terrestrial,Sealander_1969,Sunday_et_al_PNAS_2014,
Hyla,walkeri,crit,26,NA,,,38.1,16.75,-92.63,,2255.52,Chordata,Amphibia,Anura,Hylidae,terrestrial,Brattstrom_1968,Sunday_et_al_PRSB_2011,
Ambystoma,maculatum,crit,15,NA,,,38.5,35.55,-91.62,,184,Chordata,Amphibia,Caudata,Ambystomatidae,terrestrial,Sealander_1969,Sunday_et_al_PNAS_2014,
Bufo,canaliferus,crit,26,NA,,,37.3,14.58,-90.53,,914.4,Chordata,Amphibia,Anura,Bufonidae,terrestrial,Brattstrom_1968,Sunday_et_al_PNAS_2014,
Eurycea,multiplicata,crit,15,NA,,,37.5,36.1,-90.36,,426.7,Chordata,Amphibia,Caudata,Plethodontidae,terrestrial,Sealander_1969,Sunday_et_al_PNAS_2014,
Anolis,carolinensis,crit,NA,NA,,,41.7,31,-90.1,,0,Chordata,Reptilia,Squamata,Polychrotidae,terrestrial,van_Berkum_1988,Sunday_et_al_PRSB_2011,acclimation added from Van Berkum 1986.
Rana,pipiens,crit,26,NA,,,35.2,45,-88.8,,2255.52,Chordata,Amphibia,Anura,Ranidae,terrestrial,Brattstrom_1968,Sunday_et_al_PRSB_2011,
Anolis,tropidolepis,crit,23.5,8,,,33.1,10.25,-85.628,,1500,Chordata,Reptilia,Squamata,Polychrotidae,terrestrial,van_Berkum_1988,Sunday_et_al_PRSB_2011,acclimation added from Van Berkum 1986.
Coptotermes,formosanus,crit,25,90,field_fresh,,45.9,39.391166,-85.48,,200,Arthropoda,Insecta,Isoptera,Rhinotermitidae,terrestrial,Hu_and_Appel_2004,Sunday_et_al_PRSB_2011,acclimation data added
Reticulitermes,flavipes,crit,25,90,field_fresh,,44.85,32.61,-85.48,,216,Arthropoda,Insecta,Isoptera,Rhinotermitidae,terrestrial,Hu_and_Appel_2004,Sunday_et_al_PRSB_2011,Ctmin was a mean of the 3 ctmins from January (1.5; 1.8; 1.5) in Table 1. ctmax was a mean of the August ctmaxes. These are field fresh; use soil temperatures for each season as acclimation temp
Dasyatis,sabina,crit,35,20,lab,,43.1,29.7,-85.3,,0,Chordata,Elasmobranchii,Rajiformes,Dasyatidae,marine,Fangue_and_Bennet_2003,Sunday_et_al_PRSB_2011,added duration of acclimation
Anolis,cupreus,crit,24.5,8,,,38.4,10.5,-85.3,,10,Chordata,Reptilia,Squamata,Polychrotidae,terrestrial,van_Berkum_1988,Sunday_et_al_PRSB_2011,acclimation added from Van Berkum 1986.
Sceloporus,variabilis,crit,NA,NA,,,43.1,10.5,-85.3,,0,Chordata,Reptilia,Squamata,Phrynosomatidae,terrestrial,van_Berkum_1988,Sunday_et_al_PRSB_2011,acclimation conditions in Van Berkum's thesis
Anolis,intermedius,crit,24.5,8,,,38.4,10.25,-84.8,,1450,Chordata,Reptilia,Squamata,Polychrotidae,terrestrial,van_Berkum_1988,Sunday_et_al_PRSB_2011,acclimation added from Van Berkum 1986.
Sceloporus,malachiticus,crit,NA,NA,,,42.8,10.25,-84.8,,1400,Chordata,Reptilia,Squamata,Phrynosomatidae,terrestrial,van_Berkum_1988,Sunday_et_al_PRSB_2011,acclimation conditions in Van Berkum's thesis
Desmognathus,fuscus,crit,25,7,,,35,39.7,-84.7,,300,Chordata,Amphibia,Caudata,Plethodontidae,terrestrial,Layne_and_Claussen_1982,Sunday_et_al_PRSB_2011,
Eurycea,bislineata,crit,25,7,,,35,39.7,-84.7,,300,Chordata,Amphibia,Caudata,Plethodontidae,terrestrial,Layne_and_Claussen_1983b,Sunday_et_al_PRSB_2011,
Lepidophyma,flavimaculatum,crit,NA,NA,,,38,10.45,-84.02,,2000,Chordata,Reptilia,Squamata,Xantusiidae,terrestrial,van_Berkum_1988,Sunday_et_al_PRSB_2011,acclimation conditions in Van Berkum's thesis
Ameiva,festiva,crit,29,NA,,,43.7,10.5,-84,,50,Chordata,Reptilia,Squamata,Teiidae,terrestrial,van_Berkum_1988,Sunday_et_al_PRSB_2011,
Anolis,humilis,crit,24.5,8,,,35.6,10.5,-84,,50,Chordata,Reptilia,Squamata,Polychrotidae,terrestrial,van_Berkum_1988,Sunday_et_al_PRSB_2011,acclimation added from Van Berkum 1986.
Anolis,lemurinus,crit,24.5,8,,,37.3,10.5,-84,,50,Chordata,Reptilia,Squamata,Polychrotidae,terrestrial,van_Berkum_1988,Sunday_et_al_PRSB_2011,acclimation added from Van Berkum 1986.
Anolis,limifrons,crit,24.5,8,,,36.8,10.5,-84,,50,Chordata,Reptilia,Squamata,Polychrotidae,terrestrial,van_Berkum_1988,Sunday_et_al_PRSB_2011,acclimation added from Van Berkum 1986.
Anolis,lionotus,crit,24.5,8,,,36.7,10.5,-84,,50,Chordata,Reptilia,Squamata,Polychrotidae,terrestrial,van_Berkum_1988,Sunday_et_al_PRSB_2011,acclimation added from Van Berkum 1986.
Eleutherodactylus,fleischmanni,crit,23,NA,,,31.4,10.03,-83.77,,1554.48,Chordata,Amphibia,Anura,Craugastoridae,terrestrial,Brattstrom_1968,Sunday_et_al_PNAS_2014,
Rana,palmipes,crit,36,NA,,,36.9,9.75,-83.75,,579.12,Chordata,Amphibia,Anura,Ranidae,terrestrial,Brattstrom_1968,Sunday_et_al_PRSB_2011,
Bufo,haemititicus,crit,36,NA,,,37.5,10,-83.7,,579.12,Chordata,Amphibia,Anura,Bufonidae,terrestrial,Brattstrom_1968,Sunday_et_al_PRSB_2011,
Craugastor,fleischmanni,crit,23,NA,,,31.4,10,-83.7,,1554.48,Chordata,Amphibia,Anura,Craugastoridae,terrestrial,Brattstrom_1968,Sunday_et_al_PRSB_2011,
Rana,warszewitschii,crit,26,NA,,,32.8,10,-83.7,,1554.48,Chordata,Amphibia,Anura,Ranidae,terrestrial,Brattstrom_1968,Sunday_et_al_PRSB_2011,
Dendrobates,auratus,crit,26,NA,,,34.8,10,-83.5,,304.8,Chordata,Amphibia,Anura,Dendrobatidae,terrestrial,Brattstrom_1968,Sunday_et_al_PRSB_2011,
Rana,sylvaticus,crit,15,NA,,,33.9,42.63,-83.22,,67,Chordata,Amphibia,Anura,Ranidae,terrestrial,Manis_and_Claussen_1986,Sunday_et_al_PRSB_2011,
